Date_Time_PH,Latitude,Longitude,Depth_In_Km,Magnitude,Location,Specific_Location,General_Location
26/10/2025 22:02,11.12,124.03,7,1.6,010 km N 36° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 22:02,11.1,124.04,5,1.6,009 km N 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 21:04,10.98,124.09,33,2.1,014 km S 59° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 21:04,10.97,124.07,30,2.1,013 km S 49° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 19:40,11.23,124.15,9,1.4,027 km N 43° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 18:56,11.05,124.02,1,1.8,005 km N 83° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 17:53,11.13,124.13,5,3,019 km N 60° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 17:53,11.1,124.09,5,3,013 km N 69° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 17:04,10.99,123.96,1,2.4,008 km S 20° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 17:04,11.05,124.02,14,2.4,004 km N 82° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 15:07,11.12,124.15,5,2.2,021 km N 68° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 15:07,11.09,124.19,9,2.2,023 km N 78° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 14:11,11.29,124,29,1.6,028 km N 04° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:58,11.12,123.96,4,2.8,008 km N 16° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:58,11.1,123.94,2,3,008 km N 35° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:23,10.88,123.95,6,3,019 km S 11° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:23,10.9,123.96,7,3,017 km S 09° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:21,10.99,124.09,1,2.3,014 km S 63° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 11:21,11.01,124.06,2,2.3,010 km S 67° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 10:46,11.1,124.05,28,2,010 km N 53° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 8:37,11.1,123.95,4,2.2,007 km N 25° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 8:32,11.16,123.97,27,2.2,012 km N 04° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 7:57,10.93,123.95,1,2.5,013 km S 15° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 7:57,10.99,123.94,3,2.3,007 km S 35° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 7:32,11.1,124.02,27,1.7,008 km N 34° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 6:42,11.1,124.03,4,3.2,008 km N 46° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 6:42,11.13,123.96,1,3.2,010 km N 13° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 6:29,11.11,123.94,33,1.8,008 km N 32° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 5:21,11.03,124.04,1,2.1,007 km S 76° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 5:07,11.17,123.98,26,1.9,014 km N 01° W of City Of Bogo (Cebu), City Of Bogo ,Cebu
26/10/2025 5:07,11.24,124.08,8,2.1,024 km N 27° E of City Of Bogo (Cebu), City Of Bogo ,Cebu
